#INFO_SAMPLING: PATH_EMBEDDINGS=/home/sharispe/Dropbox/dev/java/workspace/Conceptual-Annotator/resources/glove.6B//glove.6B.50d.txtCONCEPTUAL_SPACE=198 ; NB_SAMPLING_PER_SIZE=100000; AGGREGATION=MIN; SIZE_SAMPLING_SET=1-6 DATE=2017/04/19 18:01:13
>SAMPLING_SIZE=1
URI	NUMBER_NON_NULL_VALUES	PERCENT_NON_NULL_VALUES	SUM	AVERAGE	SUM_SQUARED_VALUES	AVERAGE_SQUARED	MIN_BEST_95	STANDARD_DEVIATION
http://graph/wordnet/07769568	100000	100.0	-20195.262279401475	-0.20195262279401474	5140.819681364966	0.05140819681364966	-0.03537198756570857	0.1030695636949534
http://graph/wordnet/03241438	100000	100.0	-8366.534812295682	-0.08366534812295683	1629.9124762852625	0.016299124762852626	0.0	0.0964325374877021
http://graph/wordnet/10344679	100000	100.0	-31280.877899312014	-0.31280877899312015	10889.937581390957	0.10889937581390957	-0.13465577808738236	0.10511918758601059
http://graph/wordnet/10043844	100000	100.0	-32811.66129577904	-0.32811661295779043	11760.787628738006	0.11760787628738006	-0.16063862076452531	0.09973647571719997
http://graph/wordnet/02852392	100000	100.0	-20662.69914961102	-0.2066269914961102	5285.073309342928	0.05285073309342928	-0.03818524004821616	0.1007770781412901
http://graph/wordnet/09493680	100000	100.0	-9796.558027422216	-0.09796558027422216	1920.799023783419	0.01920799023783419	0.0	0.09803435785156715
http://graph/wordnet/02124272	100000	100.0	-27415.96119325486	-0.2741596119325486	8675.631126016298	0.08675631126016298	-0.09105172333587794	0.10766995144959117
http://graph/wordnet/02781674	100000	100.0	-30281.19009332274	-0.3028119009332274	10216.938578241014	0.10216938578241014	-0.12759918392839656	0.10234421544774969
http://graph/wordnet/02785352	100000	100.0	-22110.444515693234	-0.22110444515693234	6104.116199623842	0.061041161996238415	-0.04018603275867774	0.11024511929370623
http://graph/wordnet/09331478	100000	100.0	-6761.342598604407	-0.06761342598604407	1273.64277326129	0.012736427732612899	0.0	0.0903595725921866
http://graph/wordnet/07939004	100000	100.0	-13925.925935221614	-0.13925925935221614	2845.321275635718	0.02845321275635718	0.0	0.09518440755202179
http://graph/wordnet/03180509	100000	100.0	-3824.773254121989	-0.03824773254121989	1242.3927643111929	0.01242392764311193	0.0	0.10469497886034095
http://graph/wordnet/03681809	100000	100.0	-17709.138138135295	-0.17709138138135294	4219.113101997295	0.042191131019972954	-0.008153648236607794	0.10406619845279808
http://graph/wordnet/09846929	100000	100.0	-11049.719929265051	-0.1104971992926505	1937.91524828133	0.0193791524828133	0.0	0.08467302658635498
http://graph/wordnet/09376006	100000	100.0	1431.0433453823405	0.014310433453823405	1133.060407224069	0.01133060407224069	0.0	0.10547898163427813
http://graph/wordnet/09382700	100000	100.0	-24859.25056398012	-0.2485925056398012	7365.01110443892	0.07365011104438919	-0.06644728429928363	0.10886632713614709
http://graph/wordnet/07456888	100000	100.0	-27417.642549852753	-0.27417642549852755	8681.658569879564	0.08681658569879565	-0.08952177063428604	0.10790678106424093
http://graph/wordnet/01677105	100000	100.0	-15126.196225540725	-0.15126196225540725	3358.142194501187	0.03358142194501187	0.0	0.10344680139886211
http://graph/wordnet/13603216	100000	100.0	-35501.071810258916	-0.35501071810258916	13651.55705431082	0.1365155705431082	-0.18211258769010685	0.1023863300220892
http://graph/wordnet/11521799	100000	100.0	-14842.920400197734	-0.14842920400197734	3172.7188452562805	0.0317271884525628	0.0	0.09846806513739464
http://graph/wordnet/04216306	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
http://graph/wordnet/02326697	100000	100.0	11701.13025666422	0.1170113025666422	2311.799750396993	0.023117997503969933	0.0	0.09708940506372281
http://graph/wordnet/02537365	100000	100.0	-21035.001654229352	-0.21035001654229352	5413.116397982236	0.05413116397982236	-0.04749633322542194	0.09941848178522543
http://graph/wordnet/02209508	100000	100.0	-19939.899827919548	-0.19939899827919547	5099.449070871024	0.05099449070871024	-0.026142521820654827	0.10599306672591205
http://graph/wordnet/14975368	100000	100.0	-14788.962479702073	-0.14788962479702072	3107.3643678303024	0.031073643678303023	0.0	0.09592863261664608
http://graph/wordnet/06422547	100000	100.0	-35715.54742794404	-0.3571554742794404	13868.678420898323	0.13868678420898323	-0.17559780054877142	0.10548341765989203
http://graph/wordnet/05309998	100000	100.0	-25083.83032988646	-0.2508383032988646	7407.676316324174	0.07407676316324174	-0.0736172060916675	0.10562626927705328
http://graph/wordnet/02777635	100000	100.0	-18732.33643664509	-0.18732336436645092	4514.795977547125	0.04514795977547125	-0.021770121376866895	0.10028916660290439
http://graph/wordnet/10895767	100000	100.0	-31909.252871873814	-0.31909252871873817	11166.528730679513	0.11166528730679512	-0.1521149772634409	0.0992232101006432
http://graph/wordnet/04963771	100000	100.0	-6462.73577019167	-0.0646273577019167	1303.925097815197	0.01303925097815197	0.0	0.09414114729819516
http://graph/wordnet/09416900	100000	100.0	-27888.64245594102	-0.2788864245594102	8866.851521018825	0.08866851521018826	-0.10464283431009906	0.1043593666455324
http://graph/wordnet/05396148	100000	100.0	-6632.892540456141	-0.06632892540456141	1256.4375134274273	0.012564375134274273	0.0	0.09035955283726453
http://graph/wordnet/09495727	100000	100.0	-18017.540017858795	-0.18017540017858796	4330.47286033647	0.0433047286033647	-0.008725089821758307	0.10412278220375397
http://graph/wordnet/09912283	100000	100.0	-22225.535925232645	-0.22225535925232645	6067.046388394711	0.06067046388394711	-0.04564263675614755	0.10617447512263209
http://graph/wordnet/07034009	100000	100.0	-27563.900927180857	-0.27563900927180857	8530.828960350033	0.08530828960350033	-0.114650402466682	0.09659930730163732
http://graph/wordnet/04564934	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
http://graph/wordnet/07590167	100000	100.0	-25227.041396836215	-0.25227041396836214	7325.714859422416	0.07325714859422416	-0.08965068657425417	0.09806521723045006
http://graph/wordnet/13149924	100000	100.0	-10068.98429438971	-0.10068984294389709	1947.630713625238	0.01947630713625238	0.0	0.09663261697887374
http://graph/wordnet/04594951	100000	100.0	-27940.652337715335	-0.2794065233771533	8830.610188490034	0.08830610188490035	-0.10877120776784643	0.10118347977408472
http://graph/wordnet/03005231	100000	100.0	-31091.986976932836	-0.31091986976932834	10778.408538781776	0.10778408538781775	-0.13184337253781991	0.10541783516294412
